Country,Athlete,G,S,B
Spain,Carlos Alcaraz,0,1,0
South Africa,Bradley Nkoana,0,1,0
South Africa,Shaun Maswanganyi,0,1,0
South Africa,Bayanda Walaza,0,1,0
South Africa,Jo-Ane van Dyk,0,1,0
South Africa,Akani Simbine,0,1,0
Slovenia,Toni Vodisek,0,1,0
Romania,Mihaela Valentina Cambei,0,1,0
Romania,Ionela Livia Cozmiuc,0,1,0
Romania,Gianina Elena van Groningen,0,1,0
Poland,Daria Pikulik,0,1,0
Poland,Julia Szeremeta,0,1,0
Poland,Klaudia Zwolinska,0,1,0
Norway,Karsten Warholm,0,1,0
North Korea,Jo Jin Mi,0,1,0
North Korea,Kim Kum Yong,0,1,0
North Korea,Ri Jong Sik,0,1,0
New Zealand,Nicole Shields,0,1,0
New Zealand,Emily Shearman,0,1,0
New Zealand,Shaane Fulton,0,1,0
New Zealand,William McKenzie,0,1,0
New Zealand,Isaac McHardie,0,1,0
New Zealand,Logan Ullrich,0,1,0
New Zealand,Oliver Maclean,0,1,0
New Zealand,Maddison-Lee Wesche,0,1,0
New Zealand,Rebecca Petch,0,1,0
New Zealand,Hayden Wilde,0,1,0
New Zealand,Bryony Botha,0,1,0
New Zealand,Matthew Macdonald,0,1,0
New Zealand,Thomas Murray,0,1,0
New Zealand,Emma Twigg,0,1,0
Netherlands,Myrte van der Schoot,0,1,0
Netherlands,Eveline Saalberg,0,1,0
Netherlands,Hetty van de Wouw,0,1,0
Netherlands,Dieuwke Fetter,0,1,0
Netherlands,Mick Makker,0,1,0
Netherlands,Jan van der Bij,0,1,0
Netherlands,Jacob van de Kerkhof,0,1,0
Netherlands,Gert-Jan Van Doorn,0,1,0
Netherlands,Olav Molenaar,0,1,0
Netherlands,Ralf Rienks,0,1,0
Netherlands,Manon Veenstra,0,1,0
Netherlands,Tessa Dullemans,0,1,0
Netherlands,Bente Paulis,0,1,0
Netherlands,Roos de Jong,0,1,0
Netherlands,Stefan Broenink,0,1,0
Netherlands,Laila Youssifou,0,1,0
Netherlands,Melvin Twellaar,0,1,0
Netherlands,Sander de Graaf,0,1,0
Netherlands,Lisanne de Witte,0,1,0
Netherlands,Ruben Knab,0,1,0
Netherlands,Marianne Vos,0,1,0
Mongolia,,0,1,0
Moldova,Anastasia Nichita,0,1,0
Mexico,Marco Alonso Verde Alvarez,0,1,0
Mexico,Prisca Awiti Alcaraz,0,1,0
Mexico,Juan Celaya,0,1,0
Lithuania,Mykolas Alekna,0,1,0
Kyrgyzstan,Munarbek Seiitbek Uulu,0,1,0
Kyrgyzstan,Meerim Zhumanazarova,0,1,0
Kenya,Ronald Kwemoi,0,1,0
Kazakhstan,Nariman Kurbanov,0,1,0
Kazakhstan,Nurbek Oralbay,0,1,0
Kazakhstan,Demeu Zhadrayev,0,1,0
Japan,Taishu Sato,0,1,0
Japan,Miu Hirano,0,1,0
Japan,Miwa Harimoto,0,1,0
Japan,Daichi Takatani,0,1,0
Japan,Sorato Anraku,0,1,0
Japan,Cocona Hiraki,0,1,0
Japan,Matsushita Tomoyuki,0,1,0
Japan,Akama Liz,0,1,0
Japan,Keiju Okada,0,1,0
Japan,Rikuto Tamai,0,1,0
Japan,Miho Yoshioka,0,1,0
Jamaica,Kishane Thompson,0,1,0
Jamaica,Shanieka Ricketts,0,1,0
Jamaica,Wayne Pinnock,0,1,0
Italy,Gabriel Soares,0,1,0
Italy,Federico Nico Maldini,0,1,0
Italy,Elisa Iorio,0,1,0
Italy,Luca Chiumento,0,1,0
Italy,Gabriele Casadei,0,1,0
Italy,Angela Andreoli,0,1,0
Italy,Luca Rambaldi,0,1,0
Italy,Giorgia Villa,0,1,0
Italy,Silvana Maria Stanco,0,1,0
Italy,Giacomo Gentili,0,1,0
Italy,Andrea Panizza,0,1,0
Italy,Nadia Battocletti,0,1,0
Italy,Carlo Tacchini,0,1,0
Italy,Stefano Oppo,0,1,0
Italy,Elia Viviani,0,1,0
Israel,Diana Svertsov,0,1,0
Israel,Ofir Shaham,0,1,0
Israel,Romi Paritzki,0,1,0
Israel,Adar Friedmann,0,1,0
